"user_id","first_name","last_name","date_start","date_end","ctc","net_pay","gross_pay","data_salary_basic_rate","data_salary_basic_type","currency","status","created_at"
"92930","","",2022-03-01,2022-03-31,507980.0,507980.0,507980.0,55000,daily,IDR,approved,2022-04-11 08:45:32.000
"90711","","",2022-03-01,2022-03-31,1447083.0,1447083.0,1447083.0,65000,daily,IDR,approved,2022-04-11 09:38:51.000
"75218","","",2022-04-01,2022-04-30,595286.0,595286.0,595286.0,15000,hourly,IDR,approved,2022-05-01 14:22:06.000
"84490","","",2022-04-01,2022-04-30,0.0,0.0,0.0,120000,daily,IDR,approved,2022-05-05 03:51:03.000
"74052","","",2022-04-01,2022-04-30,2002592.0,2002592.0,2002592.0,1800000,monthly,IDR,approved,2022-05-05 03:51:15.000
"75963","","",2022-04-01,2022-04-30,351000.0,351000.0,351000.0,120000,daily,IDR,approved,2022-05-05 03:54:20.000
"74135","","",2022-04-01,2022-04-30,0.0,0.0,0.0,0,hourly,IDR,approved,2022-05-05 03:55:06.000
"83884","","",2022-04-01,2022-04-30,3057653.0,3057653.0,3057653.0,3000000,monthly,IDR,approved,2022-05-05 03:55:13.000
"90862","","",2022-04-01,2022-04-30,100000.0,100000.0,100000.0,65000,daily,IDR,approved,2022-05-05 03:56:13.000
"75983","","",2022-04-01,2022-04-30,0.0,0.0,0.0,120000,daily,IDR,approved,2022-05-05 03:56:53.000
"75955","","",2022-04-01,2022-04-30,0.0,0.0,0.0,120000,daily,IDR,approved,2022-05-05 03:57:30.000
"74745","","",2022-04-01,2022-04-30,0.0,0.0,0.0,0,daily,IDR,approved,2022-05-05 03:58:12.000
"74138","","",2022-04-01,2022-04-30,1947500.0,1947500.0,1947500.0,2000000,monthly,IDR,approved,2022-05-05 03:58:19.000
"85877","","",2022-04-01,2022-04-30,117000.0,117000.0,117000.0,120000,daily,IDR,approved,2022-05-05 03:59:09.000
"74008","","",2022-04-01,2022-04-30,0.0,0.0,0.0,0,monthly,IDR,approved,2022-05-05 03:59:56.000
"74062","","",2022-04-01,2022-04-30,0.0,0.0,0.0,0,monthly,IDR,approved,2022-05-05 04:00:06.000
"83893","","",2022-04-01,2022-04-30,150000.0,150000.0,150000.0,65000,daily,IDR,approved,2022-05-05 04:00:23.000
"74025","","",2022-04-01,2022-04-30,1947500.0,1947500.0,1947500.0,2000000,monthly,IDR,approved,2022-05-05 04:02:42.000
"90710","","",2022-04-01,2022-04-30,0.0,0.0,0.0,65000,daily,IDR,approved,2022-05-05 04:03:15.000
"74027","","",2022-04-01,2022-04-30,3410000.0,3410000.0,3410000.0,3500000,monthly,IDR,approved,2022-05-05 04:03:23.000
"81587","","",2022-04-01,2022-04-30,0.0,0.0,0.0,120000,daily,IDR,approved,2022-05-05 04:06:32.000
"79738","","",2022-04-01,2022-04-30,1990202.74,1990202.74,1990202.74,1800000,monthly,IDR,approved,2022-05-05 04:33:38.000
"90377","","",2022-04-01,2022-04-30,1662500.0,1662500.0,1662500.0,1500000,monthly,IDR,approved,2022-05-05 04:53:50.000
"91338","","",2022-04-01,2022-04-30,0.0,0.0,0.0,65000,daily,IDR,approved,2022-05-05 04:58:27.000
"79765","","",2022-04-01,2022-04-30,2441557.74,2441557.74,2441557.74,1800000,monthly,IDR,approved,2022-05-05 05:00:01.000
