"type","dates","time_start","time_end","timezone","time_planned","break_time","leave_type","user_id"
work,2022-09-22,08:00:00,15:00:00,+08:00,25200,0,not specified,"146166"
work,2022-08-12,08:00:00,17:00:00,+08:00,32400,0,not specified,"74042"
work,2021-11-20,15:00:00,22:00:00,+08:00,25200,0,not specified,"74461"
work,2022-10-26,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125721"
work,2021-11-28,09:00:00,18:00:00,+08:00,28800,3600,not specified,"129675"
work,2023-08-06,09:00:00,18:00:00,+08:00,28800,3600,not specified,"157837"
work,2022-02-28,15:30:00,21:30:00,+08:00,21600,0,not specified,"74044"
work,2021-12-30,09:00:00,18:00:00,+08:00,28800,3600,not specified,"138225"
work,2022-04-17,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125748"
work,2022-05-06,09:00:00,18:00:00,+08:00,28800,3600,not specified,"157916"
work,2022-10-23,15:00:00,22:00:00,+08:00,25200,0,not specified,"74049"
free,2022-12-16,09:00:00,08:59:00,+08:00,7200,0,not specified,"74053"
work,2022-06-29,08:00:00,17:00:00,+08:00,32400,0,not specified,"83902"
free,2021-12-01,09:00:00,08:59:00,+08:00,7200,0,not specified,"75218"
work,2022-10-11,09:00:00,18:00:00,+08:00,28800,3600,not specified,"155509"
work,2022-05-17,15:00:00,22:00:00,+08:00,25200,0,not specified,"83885"
work,2023-04-20,09:00:00,18:00:00,+08:00,28800,3600,not specified,"146166"
work,2022-02-07,08:00:00,18:00:00,+08:00,36000,0,not specified,"75218"
work,2023-03-06,09:00:00,18:00:00,+08:00,28800,3600,not specified,"155509"
work,2022-06-07,09:00:00,18:00:00,+08:00,28800,3600,not specified,"126082"
work,2023-08-14,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125744"
work,2022-03-25,09:30:00,17:00:00,+08:00,27000,0,not specified,"74049"
work,2023-04-01,09:00:00,18:00:00,+08:00,28800,3600,not specified,"146166"
work,2023-02-02,09:00:00,18:00:00,+08:00,28800,3600,not specified,"125721"
work,2022-06-14,08:00:00,17:00:00,+08:00,32400,0,not specified,"83902"
work,2021-12-06,09:00:00,18:00:00,+08:00,28800,3600,not specified,"155509"
work,2021-11-08,09:00:00,18:00:00,+08:00,28800,3600,not specified,"138225"
free,2022-10-01,07:00:00,06:59:00,+08:00,7200,0,not specified,"84699"
free,2022-01-16,07:00:00,06:59:00,+08:00,7200,0,not specified,"84509"
free,2022-07-03,07:00:00,06:59:00,+08:00,7200,0,not specified,"84699"
work,2022-01-03,08:00:00,15:00:00,+08:00,25200,0,not specified,"74465"
work,2022-06-17,15:00:00,22:00:00,+08:00,25200,0,not specified,"120666"
work,2022-05-09,15:00:00,22:00:00,+08:00,25200,0,not specified,"74556"
